ID_Termino;Termino_Clave;Definicion_Tecnica;Importancia_Clinica;Relacion_Anatomica;Terminos_Relacionados
D035;Edema;Acumulacion de liquido en el espacio tejido intercelular o intersticial.;Su control es prioridad en la fase aguda mediante crioterapia y drenaje linfatico.;Sistema Linfatico;Inflamacion, Fovea, Drenaje Linfatico
D036;Eritema;Enrojecimiento de la piel debido a un aumento del contenido de sangre en los capilares.;Signo tipico tras la aplicacion de termoterapia o fototerapia (dosificacion).;Piel y Faneras;Hiperemia, Vasodilatacion, Agentes Termicos
D037;Cronaxia;Tiempo minimo necesario para que una corriente de doble intensidad del reobase produzca una contraccion.;Parametro fundamental para configurar equipos de electroestimulacion.;Agentes Fisicos;Electroterapia, Reobase, Excitabilidad neuromuscular
D038;Hipertonia;Aumento anormal del tono muscular y de la resistencia de los musculos al estiramiento pasivo.;Frecuente en lesiones del sistema nervioso central (espasticidad).;Sistema Muscular;Espasticidad, Rigidez, Tono muscular
D039;Sinergia;Trabajo conjunto de varios musculos para ejecutar un movimiento complejo de manera coordinada.;La rehabilitacion busca recuperar sinergias perdidas por lesiones neurologicas.;Sistema Muscular;Coactivacion, Movimiento coordinado, Agonistas
D040;Bursitis;Inflamacion de la bursa (bolsa llena de liquido que amortigua las articulaciones).;Comun en hombro y rodilla; requiere agentes antiinflamatorios.;Articulaciones
D041;Hemostasia;Conjunto de mecanismos aptos para detener los procesos hemorragicos.;Importante conocer los tiempos de cicatrizacion antes de aplicar agentes fisicos.;Sistema Circulatorio;Coagulacion, Cicatrizacion, Fase inflamatoria
D042;Propiocepcion;Capacidad del cuerpo para ubicar la posicion de las articulaciones en todo momento.;Base del equilibrio y la prevencion de recaidas en esguinces.;Sistema Nervioso;Equilibrio, Receptores sensoriales, Control motor
D043;Cinesiterapia;Conjunto de metodos que utilizan el movimiento con fines terapeuticos.;Es la base fundamental de la rehabilitacion fisica y funcional.;Sistema Neuromusculoesqueletico;Movimiento pasivo, Movimiento activo, Ejercicio terapeutico
D044;Contraccion Isometrica;Contraccion muscular en la que la longitud del musculo no cambia, generando tension sin movimiento articular.;Ideal para las primeras fases de rehabilitacion post-inmovilizacion.;Sistema Muscular;Fuerza estatica, Tension muscular, Rehabilitacion temprana
D045;Contraccion Isotonica;Contraccion muscular que genera movimiento articular. Puede ser concentrica (acortamiento) o excentrica (alargamiento).;Fundamental para ganar fuerza funcional y masa muscular (hipertrofia).;Sistema Muscular;Concentrica, Excentrica, Trabajo dinamico
D046;Cadena Cinetica Abierta;Movimiento en el cual el segmento distal (ej. mano o pie) se mueve libremente en el espacio.;Permite aislar musculos especificos durante el fortalecimiento.;Sistema Osteoarticular;Extension de rodilla, Curl de biceps, Aislamiento muscular
D047;Cadena Cinetica Cerrada;Movimiento en el cual el segmento distal esta fijo y el cuerpo se mueve sobre el (ej. sentadilla).;Mas funcional y seguro para las articulaciones al estimular la propiocepcion y co-contraccion.;Sistema Osteoarticular;Sentadilla, Flexiones, Rehabilitacion funcional
D048;Osteocinematica;Estudio del movimiento de los huesos en el espacio sin importar lo que pasa dentro de la articulacion.;Es lo que observamos y medimos visiblemente con el goniometro.;Sistema Esqueletico;Goniometria, Planos y ejes, Rango de movimiento (ROM)
D049;Artrocinematica;Estudio de los movimientos intimos que ocurren dentro de la articulacion (rodar, deslizar, girar).;Su alteracion causa bloqueos articulares y dolor, tratados con terapia manual.;Articulaciones;Rodamiento, Deslizamiento, Terapia Manual Ortopedica
D050;Alodinia;Percepcion de dolor ante estimulos que normalmente no son dolorosos (ej. el roce de la ropa o una sabana).;Signo clinico clave de sensibilizacion central o daño neuropatico severo.;Sistema Nervioso;Neuropatia, Dolor cronico, Sensibilizacion
D051;Hiperalgesia;Respuesta dolorosa exagerada frente a un estimulo que normalmente ya es doloroso.;Indica un estado de inflamacion aguda o hipersensibilidad de los nociceptores.;Sistema Nervioso;Dolor agudo, Inflamacion, Nocicepcion
D052;Anquilosis;Perdida total o parcial de la movilidad de una articulacion debido a fusion osea o rigidez de los tejidos.;Requiere prevencion extrema en pacientes inmovilizados por mucho tiempo (ej. yesos prolongados).;Articulaciones;Rigidez articular, Fusion osea, Artrodesis
D053;Dermatoma;Area de la piel inervada sensitivamente por la raiz dorsal de un solo nervio espinal.;Permite localizar el nivel exacto de una lesion medular o radicular mediante pruebas de sensibilidad al tacto o dolor.;Sistema Nervioso Periferico;Sensibilidad, Raiz nerviosa, Evaluacion neurologica
D054;Miotoma;Grupo de musculos inervados por la raiz motora de un solo nervio espinal.;Se evalua mediante pruebas de fuerza especifica para detectar compresion nerviosa en la columna.;Sistema Muscular;Fuerza muscular, Radiculopatia, Nervio motor
D055;Radiculopatia;Condicion causada por la compresion, inflamacion o lesion de la raiz de un nervio espinal al salir de la columna.;Provoca dolor irradiado, debilidad y alteraciones sensitivas (el ejemplo mas comun es la ciatica).;Sistema Nervioso;Hernia discal, Ciatica, Compresion nerviosa
D056;Iontoforesis;Tecnica de electroterapia que utiliza corriente galvanica para introducir medicamentos (iones) a traves de la piel.;Evita inyecciones dolorosas y reduce la inflamacion localizada de forma rapida y directa.;Agentes Fisicos;Corriente galvanica, Farmacos topicos, Analgesia
D057;Fonoforesis;Uso de ondas de ultrasonido terapeutico para facilitar la penetracion profunda de medicamentos topicos (geles).;Acelera la recuperacion en tendinopatias y bursitis superficiales.;Agentes Fisicos;Ultrasonido, Absorcion transdermica, Antiinflamatorios
D058;Diatermia;Terapia de alta frecuencia que genera calor profundo en los tejidos desde el interior hacia el exterior.;Excelente para relajar contracturas cronicas profundas y mejorar el trofismo sin quemar la piel.;Agentes Fisicos;Onda corta, Microondas, Termoterapia profunda
D059;Ortesis;Dispositivo externo aplicado al cuerpo para modificar los aspectos funcionales o estructurales del sistema neuromusculoesqueletico.;Ayuda a alinear, prevenir deformidades o facilitar la funcion de una zona debil (ej. ferulas, plantillas, corses).;Sistema Osteoarticular;Ferula, Plantillas, Soporte articular
D060;Protesis;Dispositivo artificial que reemplaza una parte del cuerpo faltante para restaurar su funcion y estetica.;Requiere un arduo entrenamiento propioceptivo y reeducacion de la marcha por parte del fisioterapeuta.;Sistema Musculoesqueletico;Amputacion, Reemplazo articular, Miembro artificial
D061;Espasmo Muscular;Contraccion involuntaria, sostenida y dolorosa de un musculo, generalmente como mecanismo de defensa ante una lesion subyacente.;Suele acompañar a lesiones articulares agudas y requiere relajantes, calor o terapia manual muy suave.;Sistema Muscular;Defensa muscular, Dolor agudo, Tension
D062;Contractura;Acortamiento duradero y anormal de un musculo o tejido blando, altamente resistente al estiramiento pasivo.;Si no se trata con masaje profundo y estiramientos, puede limitar permanentemente el rango de movimiento articular.;Sistema Muscular;Acortamiento, Rigidez, Fibras musculares
D063;Abducción;Movimiento de separación o alejamiento de una extremidad desde la línea media del cuerpo.;Clave para evaluar función del deltoides y supraespinoso.;Sistema Articular;Aducción, Separación, Plano Coronal
D064;Aducción;Movimiento de aproximación o acercamiento de una extremidad hacia la línea media del cuerpo.;Importante en rehabilitación de aductores de cadera o pectoral.;Sistema Articular;Abducción, Aproximación, Plano Coronal
D065;Flexión;Movimiento que disminuye el ángulo entre dos segmentos corporales articulados.;Evalúa el acortamiento de cadenas flexoras (ej. isquiotibiales).;Sistema Articular;Extensión, Plegado, Plano Sagital
D066;Extensión;Movimiento que aumenta el ángulo entre dos segmentos corporales, enderezándolos.;Fundamental para la bipedestación y marcha (ej. glúteo mayor).;Sistema Articular;Flexión, Hiperextensión, Plano Sagital
D067;Pronación;Rotación del antebrazo que sitúa la palma de la mano hacia abajo o hacia atrás.;Su limitación afecta actividades como usar un teclado o verter agua.;Radio, Cúbito;Supinación, Pronador Redondo, Pronador Cuadrado
D068;Supinación;Rotación del antebrazo que sitúa la palma de la mano hacia arriba o hacia adelante.;Requerida para comer o recibir objetos en la mano.;Radio, Cúbito;Pronación, Músculo Supinador, Bíceps Braquial
D069;Dorsiflexión;Movimiento del tobillo que eleva la punta del pie acercándola a la espinilla.;Su déficit causa 'pie caído' y riesgo de tropiezos en la marcha.;Articulación Talocrural;Flexión Plantar, Tibial Anterior
D070;Flexión Plantar;Movimiento del tobillo que aleja la punta del pie, como al pararse de puntillas.;Esencial para la fase de despegue (propulsión) en la marcha.;Articulación Talocrural;Dorsiflexión, Tríceps Sural, Gemelos
D071;Inversión;Movimiento del pie que orienta la planta hacia la línea media (adentro).;Mecanismo principal de lesión en el esguince de tobillo clásico.;Articulación Subastragalina;Eversión, Esguince Lateral, Tibial Posterior
D072;Eversión;Movimiento del pie que orienta la planta hacia afuera de la línea media.;Mecanismo de lesión de esguince medial (ligamento deltoideo).;Articulación Subastragalina;Inversión, Peroneo Largo, Peroneo Corto
D073;Tixotropía;Propiedad de la fascia y tejidos colágenos de pasar de un estado viscoso (gel) a uno fluido (líquido) mediante calor o fricción.;Justifica fisiológicamente el uso del masaje y la liberación miofascial.;Fascia, Tejido Conectivo;Liberación Miofascial, Viscoelasticidad, Calor
D074;Isquemia Reactiva;Restricción temporal del flujo sanguíneo seguida de una vasodilatación compensatoria abrupta.;Efecto buscado en la compresión de puntos gatillo para limpiar metabolitos de dolor.;Sistema Circulatorio;Punto Gatillo, Compresión Isquémica, Hiperemia
D075;Hiperemia;Aumento localizado del flujo sanguíneo en un tejido, manifestado por enrojecimiento y calor.;Signo de inflamación aguda o respuesta terapéutica al masaje/termoterapia.;Piel, Capilares;Eritema, Termoterapia, Circulación Sanguínea
D076;Dermatoma;Área de la piel inervada por los axones sensitivos de una única raíz nerviosa espinal.;Permite diagnosticar qué vértebra o disco está causando un dolor o adormecimiento.;Sistema Nervioso Periférico;Miotoma, Radiculopatía, Sensibilidad
D077;Miotoma;Grupo de músculos inervados por los axones motores de una única raíz nerviosa espinal.;La debilidad en un miotoma específico indica lesión compresiva del nervio raquídeo.;Sistema Nervioso, Sistema Muscular;Dermatoma, Fuerza Muscular, Raíz Nerviosa
D078;Radiculopatía;Lesión o compresión de una raíz nerviosa espinal, generando dolor irradiado, entumecimiento o debilidad.;Causa patologías como la ciática o la cervicobraquialgia.;Médula Espinal, Raíz Nerviosa;Ciática, Hernia Discal, Neuropatía
D079;Punto Gatillo Miofascial;Nódulo hiperirritable palpable en una banda tensa de músculo esquelético que genera dolor referido.;Causa principal del Síndrome de Dolor Miofascial, tratable con punción seca o masaje.;Fibras Musculares;Espasmo, Banda Tensa, Dolor Referido
D080;Epicóndilo;Eminencia ósea situada sobre o por encima de un cóndilo articular.;Lugar de inserción tendinosa masiva y origen de epicondilitis (codo de tenista).;Huesos Largos;Cóndilo, Epitróclea, Tendinopatía
D081;Tuberosidad;Prominencia ósea de tamaño mediano o grande, generalmente de superficie rugosa.;Punto de tracción mecánica fuerte donde se insertan grandes músculos.;Accidentes Óseos;Tubérculo, Trocánter, Inserción Muscular
D082;Foramen;Agujero u orificio en un hueso a través del cual pasan nervios, arterias o venas.;Lugares de potencial compresión nerviosa (ej. foramen intervertebral).;Accidentes Óseos;Agujero, Orificio, Canal Nervioso
D083;Fosa;Depresión superficial o profunda en la superficie de un hueso.;Acomoda músculos (ej. Fosa supraespinosa) u otros huesos en articulaciones.;Accidentes Óseos;Depresión Ósea, Fosa Glenoidea
D084;Cóndilo;Protuberancia redondeada en la extremidad de un hueso que forma parte de una articulación.;Superficie de carga principal en rodilla (fémur/tibia) y mandíbula.;Superficie Articular;Epicóndilo, Articulación Condílea
D085;Fascia;Red tridimensional de tejido conectivo ininterrumpido que envuelve músculos, huesos, órganos y nervios.;Su restricción causa dolor crónico y alteraciones posturales (se trata con terapia miofascial).;Tejido Conectivo;Miofascia, Epimisio, Retináculo
D086;Ligamento;Banda densa de tejido conectivo fibroso que une huesos entre sí estabilizando una articulación.;"Se lesiona mediante esguinces; tiene poca vascularización, por lo que sana lento.";Articulaciones;Esguince, Tendón, Estabilidad Pasiva
D087;Tendón;Cordón grueso de colágeno que ancla el tejido muscular al hueso para transmitir fuerza.;Se afecta por sobrecarga generando tendinitis o tendinosis.;Unión Miitendinosa;Tendinopatía, Inserción, Rotura Fibrilar
D088;Bursa;Pequeña bolsa llena de líquido sinovial que actúa como cojín entre huesos, tendones o músculos.;Su inflamación (bursitis) genera dolor agudo al movimiento articular (ej. hombro, rodilla).;Articulaciones;Bursitis, Roce, Líquido Sinovial
D089;Cartílago Hialino;Tejido conectivo firme y resbaladizo que recubre los extremos de los huesos articulares.;Su desgaste progresivo es la causa de la osteoartritis (artrosis).;Superficie Articular;Artrosis, Desgaste, Condromalacia
D090;Osteofito;Crecimiento óseo anormal (espolón) que se forma en los bordes de las articulaciones dañadas.;"Intento del cuerpo por estabilizar una articulación artrósica; puede pinzar nervios.";Bordes Articulares;Pico de loro, Artrosis, Degeneración Ósea
D091;Cifosis;Curvatura normal de la columna vertebral que presenta una convexidad hacia atrás (torácica y sacra).;Su aumento patológico causa 'joroba' y problemas respiratorios/posturales.;Columna Torácica;Hipercifosis, Columna Vertebral, Postura
D092;Lordosis;Curvatura normal de la columna vertebral que presenta una concavidad hacia atrás (cervical y lumbar).;La hiperlordosis lumbar es una causa altísima de lumbalgia y sobrecarga facetaria.;Columna Lumbar, Columna Cervical;Hiperlordosis, Pelvis, Basculación
D093;Escoliosis;Desviación tridimensional anormal de la columna vertebral, incluyendo rotación vertebral y curvatura lateral.;Requiere diagnóstico temprano para evitar deformidades estructurales graves y uso de corsé.;Columna Vertebral;Giba Costal, Test de Adams, Deformidad
D094;Derrame Articular;Acumulación anormal de líquido (sinovial, sangre o pus) dentro de la cápsula articular.;Signo clínico de daño interno grave en rodilla o tobillo, limita la flexión por distensión.;Cápsula Articular;Hemartrosis, Edema, Hinchazón
D095;Edema;Acumulación patológica de líquido en el espacio intersticial de los tejidos (hinchazón).;Su tratamiento prioritario es el reposo, elevación, compresión y crioterapia (RICE).;Tejido Subcutáneo;Inflamación, Linfedema, Fóvea
D096;Linfedema;Hinchazón severa y crónica causada por obstrucción o daño en los vasos/ganglios linfáticos.;"Rebela la importancia del Drenaje Linfático Manual (DLM); común post-cáncer de mama.";Sistema Linfático;Drenaje Linfático, Ganglios, Edema Crónico
D097;Crepitación;Sonido o sensación de crujido/roce palpable o audible al mover una articulación o tendón.;Puede indicar condromalacia rotuliana, artrosis o tenosinovitis seca.;Articulaciones;Crujido, Roce Articular, Condromalacia
D098;Propiocepción;Sentido interno que informa al cerebro sobre la posición y el movimiento de las partes del cuerpo.;Su entrenamiento (equilibrio) es vital para prevenir recidivas tras esguinces o lesiones.;Sistema Nervioso, Receptores Articulares;Equilibrio, Cinestesia, Huso Muscular
D099;Contracción Isométrica;Contracción donde el músculo genera tensión pero no cambia su longitud (no hay movimiento articular).;Ideal para fases tempranas de rehabilitación cuando el movimiento articular duele.;Fibras Musculares;Isométrica, Tensión, Rehabilitación Temprana
D100;Contracción Excéntrica;Contracción donde el músculo genera tensión mientras sus fibras se alargan progresivamente.;El mejor método para curar tendinopatías crónicas y ganar fuerza funcional.;Fibras Musculares;Freno Muscular, Alargamiento, Tendinosis
D101;Cadena Cinetica Cerrada (CCC);Movimiento donde el segmento distal se encuentra fijo sobre una superficie (ej. Sentadilla, Plancha).;Genera mayor co-contraccion articular, dando muchisima mas estabilidad articular post-lesion.;Articulaciones de carga (Rodilla, Hombro);Biomecanica, Co-contraccion, Estabilidad
D102;Cadena Cinetica Abierta (CCA);Movimiento donde el segmento distal esta libre en el espacio (ej. Extension de rodilla en maquina).;Ideal para aislar un musculo especifico y ganar hipertrofia rapida, pero genera mas estres en la articulacion.;Musculos Aislados;Hipertrofia, Cizallamiento Articular
D103;Osteocinematica;Estudio del movimiento global de los huesos en el espacio (Flexion, Extension, Abduccion).;Es el movimiento que tu puedes ver y medir con un goniometro en la evaluacion clinica.;Ejes y Planos Anatómicos;Goniometria, Movimiento Fisiologico, ROM
D104;Artrocinematica;Estudio de los micro-movimientos intimos dentro de la articulacion (Rodamiento, Deslizamiento, Giro).;Si la artrocinematica esta bloqueada, el hueso no podra moverse (osteocinematica limitada). Requiere terapia manual para liberarlo.;Superficies Articulares, Capsula;Terapia Manual, Deslizamiento Articular
D105;Puntos Gatillo Miofasciales (PGM);Nodulo hiperirritable en una banda tensa de musculo esqueletico que genera dolor referido a distancia.;Desactivarlos es la base de la puncion seca o presion isquemica. El dolor referido engaña a muchos terapeutas.;Fibras Musculares, Placa Motora;Banda Tensa, Dolor Referido, Puncion Seca
D106;Cadenas Miofasciales;Conjunto de músculos y fascias que trabajan en serie para transmitir tensión y generar movimiento complejo.;Su comprensión permite tratar un dolor en el pie que tiene su origen en un desequilibrio de la cadera.;Sistema Fascial;Fascia, Biotensegridad, Líneas de Tensión
D107;Biotensegridad;Principio arquitectónico aplicado al cuerpo donde la estabilidad depende de la tensión (fascia) y compresión (huesos).;Explica por qué el cuerpo se adapta globalmente a una lesión local para no colapsar.;Tejido Conectivo;Integridad Tensional, Fascia, Estructura Biomecánica
D108;Hipoalgesia;Disminución de la sensibilidad al dolor tras la aplicación de un estímulo (ej. TENS o ejercicio).;Es el objetivo primario de la fisioterapia analgésica para permitir el movimiento temprano.;Sistema Nervioso Central;Analgesia, Umbral del Dolor, Modulación
D109;Neurodinamia;Técnica de movilización y deslizamiento de los nervios periféricos para mejorar su salud y conducción.;Vital en ciáticas o túnel carpiano donde el nervio está 'atrapado' o adherido.;Sistema Nervioso Periférico;Deslizamiento Neural, Movilización, Nervio Ciático
D110;Vaina Sinovial;Túnel de tejido conectivo que envuelve los tendones, permitiendo su deslizamiento sin fricción.;Su inflamación (tenosinovitis) causa dolor agudo y limitación funcional severa.;Tendones y Articulaciones;Líquido Sinovial, Tenosinovitis, Fricción Tendinosa
