ID;Region;Nombre_Musculo;Origen;Insercion;Inervacion;Accion;Palpacion_Clinica;Patologia_Asociada;Tecnica_Manual_Sugerida;Agente_Sugerido;Pagina_Netter;Prioridad_BRI;Dato_Clinico_Clave;Ejercicio_Fortalecimiento;Estiramiento_Sugerido
15;Cara;Orbicular de los ojos;Borde medial de la orbita;Piel alrededor de la orbita;Nervio Facial (VII);Cierra los parpados (parpadeo);Borde externo del ojo;Paralisis facial;Drenaje linfatico facial;Laserterapia;27;Rojo;"Cierro tus ojitos; sin mí no podrías dormir ni guiñar un ojo.";Ejercicios isométricos progresivos y bandas elásticas;Cierre suave y apertura forzada de párpados.
16;Cara;Orbicular de la boca;Mandibula y maxilar (fibras musculares);Piel y mucosa de los labios;Nervio Facial (VII);Cierra y protruye los labios (beso);Alrededor de los labios;Disfagia motora;Estimulacion sensorial;Electroestimulacion;27;Verde;Soy el músculo indispensable para dar besos o silbar una canción.;Ejercicios isométricos progresivos y bandas elásticas;Gesto de 'sorpresa' abriendo mucho la boca.
17;Cara;Cigomatico Mayor;Hueso cigomatico;Angulo de la boca (modiolo);Nervio Facial (VII);Eleva el angulo de la boca (sonrisa);Parte media del pomulo;Asimetria facial;Masaje intraoral;TENS;27;Ambar;Tiro de las comisuras de tus labios hacia arriba para que sonrías.;Ejercicios isométricos progresivos y bandas elásticas;Gesto de 'beso' proyectando labios.
18;Cara;Buccinador;Mandibula y procesos alveolares;Angulo de la boca;Nervio Facial (VII);Comprime las mejillas (soplar);Profundo en la mejilla;Dificultad al masticar;Estiramiento digital;Ultrasonido;28;Verde;Te ayudo a soplar las velas del pastel y mantener comida entre los dientes.;Ejercicios isométricos progresivos y bandas elásticas;Soplar fuerte o hinchar mejillas.
19;Masticacion;Masetero;Arco cigomatico;Rama y angulo de la mandibula;Nervio Mandibular (V3);Eleva la mandibula (cierra la boca);Angulo de la mandibula (muy fuerte);Bruxismo / ATM;Liberacion por presion;Termoterapia;55;Rojo;"Cierro tu mandíbula con mucha fuerza; me tenso brutalmente en el bruxismo.";Ejercicios isométricos progresivos y bandas elásticas;Apertura bucal máxima asistida.
20;Masticacion;Temporal;Fosa temporal;Apofisis coronoides de la mandibula;Nervios temporales profundos (V3);Eleva y retrae la mandibula;Region de la sien;Dolor de cabeza ATM;Masaje circular temporal;Crioterapia;55;Rojo;"Ayudo al masetero a masticar; me palpas en tu sien al apretar los dientes.";Ejercicios isométricos progresivos y bandas elásticas;Apertura bucal con ligera presión hacia abajo.
21;Hombro;Infraespinoso;Fosa infraespinosa de la escapula;Troquiter (cara media);Nervio Supraescapular;Rotacion externa del brazo;Debajo de la espina de la escapula;Sindrome de pinzamiento;Friccion transversa profunda;Magnetoterapia;415;Ambar;"Roto tu brazo hacia afuera; soy clave en la frenada al lanzar una pelota.";Ejercicios isométricos progresivos y bandas elásticas;Rotación interna de hombro (brazo atrás).
22;Hombro;Redondo Menor;Borde lateral de la escapula;Troquiter (cara inferior);Nervio Axilar;Rotacion externa del brazo;Borde axilar posterior;Inestabilidad gleno-humeral;Compresion isquemica;Laserterapia;415;Verde;Soy el hermanito menor del infraespinoso dentro del manguito rotador.;Ejercicios isométricos progresivos y bandas elásticas;Rotación interna de hombro con codo a 90°.
23;Hombro;Subescapular;Fosa subescapular;Troquin (tubérculo menor);Nervios subescapulares;Rotacion interna del brazo;Cara anterior de la escapula (axila);Hombro congelado;Movilizacion pasiva;Ultrasonido;413;Rojo;Soy el único del manguito rotador que rota el brazo hacia adentro.;Ejercicios isométricos progresivos y bandas elásticas;Rotación externa de hombro.
24;Brazo;Coracobraquial;Apofisis coracoides de la escapula;Cara medial del humero;Nervio Musculocutaneo;Flexion y aduccion del brazo;Cara interna del brazo superior;Puntos gatillo braquiales;Presion deslizante;TENS;421;Verde;Aparezco en disecciones como un músculo atravesado por el nervio musculocutáneo.;Ejercicios isométricos progresivos y bandas elásticas;Extensión y abducción de hombro.
25;Brazo;Braquial Anterior;Cara anterior del humero;Apofisis coronoides del cubito;Nervio Musculocutaneo;Flexion de codo (principal);Profundo al biceps;Limitacion de la flexion;Masaje de descompresion;Termoterapia;421;Verde;Soy el verdadero 'caballo de batalla' oculto bajo el bíceps para doblar el codo.;Ejercicios isométricos progresivos y bandas elásticas;Extensión de codo en pronación.
26;Antebrazo;Pronador Redondo;Epicondilo medial del humero;Cara lateral del radio;Nervio Mediano;Pronacion del antebrazo;Fosa del codo;Sindrome del pronador;Masaje de descompresion;TENS;435;Ambar;Giro tu antebrazo para que la palma de tu mano mire hacia abajo.;Ejercicios isométricos progresivos y bandas elásticas;Extensión de codo con pronación (Braquiorradial).
27;Antebrazo;Palmar Largo;Epicondilo medial;Aponeurosis palmar;Nervio Mediano;Flexion debil de la muñeca;Tendon central de la muñeca;Tendinitis palmar;Estiramiento pasivo;Ultrasonido;435;Verde;"Muchas personas nacen sin mí; mi función es tensar la aponeurosis de la mano.";Ejercicios isométricos progresivos y bandas elásticas;Flexión de muñeca con desviación cubital.
28;Antebrazo;Flexor Radial del Carpo;Epicondilo medial;Base del 2do metacarpiano;Nervio Mediano;Flexion y abduccion de muñeca;Lado radial de la muñeca;Epicondilitis medial;Friccion profunda;Laserterapia;435;Rojo;Doblo tu muñeca con fuerza y la desvío hacia el lado de tu pulgar.;Ejercicios isométricos progresivos y bandas elásticas;Flexión de muñeca y dedos.
29;Mano;Oponente del Pulgar;Hueso trapecio;Borde lateral del 1er metacarpiano;Nervio Mediano;Oposicion del pulgar;Eminencia tenar;Rizartrosis;Masaje circular tenar;Magnetoterapia;455;Rojo;Te permito tocar la yema del meñique con tu pulgar (pinza fina).;Ejercicios isométricos progresivos y bandas elásticas;Abducción y extensión forzada del pulgar.
30;Mano;Lumbricales de la mano;Tendones del flexor profundo;Expansion extensora dedos 2-5;Nervios Mediano y Cubital;Flexion MCF y extension IF;Palpacion interdigital;Mano en garra;Movilizacion articular;Ultrasonido;457;Ambar;Nos llamamos así porque parecemos pequeñas lombrices entre tus dedos.;Ejercicios isométricos progresivos y bandas elásticas;Extensión de articulaciones metacarpofalángicas.
31;Muslo;Psoas Iliaco;Vertebras T12-L5 y fosa iliaca;Trocanter menor del femur;Nervio Femoral;Flexion de cadera (principal);Profundo en la ingle;Lumbalgia por acortamiento;Estiramiento post-isometrico;Magnetoterapia;490;Rojo;"Flexiono tu cadera; si me acorto por estar mucho sentado, arqueo tu zona lumbar.";Elevación de rodilla al pecho con resistencia elástica;Zancada (lunge) con retroversión pélvica.
32;Muslo;Sartorio;Espina iliaca anterosuperior;Cara medial de la tibia (Pata de ganso);Nervio Femoral;Flexion abduccion y rotacion externa;Diagonal en el muslo;Bursitis pata de ganso;Masaje de descarga;Crioterapia;502;Ambar;Soy el más largo de tu cuerpo, cruzo el muslo como la cinta de un sastre.;Ejercicios isométricos progresivos y bandas elásticas;Extensión de cadera, abducción y rotación interna.
33;Muslo;Biceps Femoral;Tuberosidad isquiatica;Cabeza del perone;Nervio Ciatico;Flexion de rodilla y extension cadera;Cara posterolateral muslo;Desgarro de isquiotibiales;Friccion longitudinal;Termoterapia;506;Rojo;"Parte externa de los isquiotibiales; tiendo a desgarrarme si corres sin calentar.";Curl de bíceps con banda de resistencia;Flexión de cadera con rodilla extendida y rotación interna.
34;Pierna;Tibial Anterior;Condilo lateral de la tibia;Cuneiforme medial y 1er metatarsiano;Nervio Peroneo Profundo;Dorsiflexion e inversion del pie;Cara lateral de la tibia;Periostitis tibial;Liberacion miofascial;TENS;513;Rojo;"Levanto la punta de tu pie al caminar; si fallo, el pie 'cae' o arrastra.";Flexión dorsal del pie con banda elástica;Flexión plantar máxima de tobillo e inversión.
35;Pierna;Soleo;Cabeza del perone y linea del soleo;Calcaneo (via tendon de Aquiles);Nervio Tibial;Flexion plantar;Debajo de los gemelos;Sobrecarga del tendon;Masaje de bombeo;Magnetoterapia;518;Verde;Soy el 'segundo corazón' venoso de tus piernas, bombeo sangre hacia arriba.;Elevaciones de talón sentado con peso en rodillas;Dorsiflexión de tobillo con rodilla flexionada.
36;Espalda;Erector de la Columna;Apofisis espinosas y costillas;Apofisis espinosas y transversas superiores;Nervios espinales (ramos dorsales);Extension y lateralizacion de la columna;Surco paravertebral;Escoliosis / Fatiga postural;Masaje de friccion profunda;Magnetoterapia;178;Rojo;"Mantenemos tu espalda derecha; si nos fatigamos, te encorvas.";Ejercicios isométricos progresivos y bandas elásticas;Flexión de tronco 'posición de rezo'.
37;Espalda;Cuadrado Lumbar;Cresta iliaca y ligamento iliolumbar;Ultima costilla y apofisis transversas L1-L4;Nervios T12 y espinales L1-L4;Inclinacion lateral de columna y fija la 12va costilla;Region lumbar lateral;Lumbalgia mecanica;Compresion isquemica;TENS;179;Rojo;"Estabilizo tu pelvis desde arriba; soy el gran culpable de muchas lumbalgias.";Plancha lateral (Side plank);Inclinación lateral profunda de tronco.
38;Tronco;Serrato Anterior;Caras externas de las costillas 1-8;Borde medial de la escapula;Nervio Toracico Largo;Protraccion y rotacion de la escapula;Pared lateral del torax (axila);Escapula alada;Masaje de liberacion fascial;Ultrasonido;417;Ambar;"Pego tu escápula a las costillas; si me paralizo, tienes 'escápula alada'.";Ejercicios isométricos progresivos y bandas elásticas;Retracción escapular pasiva (abrir el pecho).
39;Tronco;Intercostales Externos;Borde inferior de la costilla superior;Borde superior de la costilla inferior;Nervios intercostales;Elevan las costillas (Inspiracion);Espacios intercostales;Neuralgia intercostal;Masaje intercostal suave;Laserterapia;189;Verde;Ayudamos a tu diafragma abriendo la caja torácica al inspirar.;Ejercicios isométricos progresivos y bandas elásticas;Inspiración profunda con inclinación lateral.
40;Cuello;Esplenio de la Cabeza;Ligamento nucal y apofisis T1-T3;Apofisis mastoides y hueso occipital;Ramos posteriores de nervios cervicales;Extension y rotacion ipsilateral de cabeza;Cara posterior y lateral del cuello;Cefalea tensional;Amasamiento digital;Termoterapia;176;Rojo;Roto y extiendo tu cuello, trabajando en equipo con el trapecio.;Ejercicios isométricos progresivos y bandas elásticas;Inclinación lateral contralateral pura.
41;Pelvis;Piriforme;Cara anterior del sacro y ligamento sacrotuberoso;Borde superior del trocanter mayor;Nervio del piriforme (L5-S2);Rotacion externa y abduccion de cadera;Profundo en el centro del gluteo;Sindrome del piramidal;Compresion isquemica profunda;Magnetoterapia;494;Rojo;Si me tenso mucho, atrapo a tu nervio ciático y causo dolor irradiado a la pierna.;Ejercicios isométricos progresivos y bandas elásticas;Flexión de cadera y rotación externa profunda (posición de 4).
42;Cadera;Gluteo Medio;Cara externa del ilion;Cara lateral del trocanter mayor;Nervio Gluteo Superior;Abduccion de cadera y estabiliza pelvis;Cara lateral de la cadera;Marcha en Trendelenburg;Masaje de friccion lateral;Corrientes Rusas;494;Rojo;"Soy el gran estabilizador lateral; sin mí, caminarías cojeando de lado.";Caminata lateral con banda elástica (Monster walks);Aducción de cadera en decúbito lateral.
43;Cadera;Tensor de la Fascia Lata;Espina iliaca anterosuperior;Tracto iliotibial (tibia lateral);Nervio Gluteo Superior;Tensa la fascia lata y abduce cadera;Cara anterolateral superior del muslo;Sindrome de la cintilla iliotibial;Liberacion miofascial lateral;Ultrasonido;502;Ambar;"Doy soporte lateral a tu rodilla; mi banda suele doler a los corredores.";Ejercicios isométricos progresivos y bandas elásticas;Aducción y extensión de cadera.
44;Muslo;Aductor Mayor;Rama inferior del pubis e isquion;Linea aspera del femur;Nervio Obturador y Ciatico;Aduccion potente de la cadera;Cara medial profunda del muslo;Pubalgia;Masaje de bombeo aductor;Termoterapia;497;Ambar;Soy enorme y poderoso, junto tus rodillas al centro con muchísima fuerza.;Ejercicios isométricos progresivos y bandas elásticas;Abducción de cadera sentada (mariposa).
45;Muslo;Vasto Lateral;Trocánter mayor y línea áspera;Rótula y tuberosidad de la tibia;Nervio Femoral;Extensión de rodilla;Cara lateral del muslo;Disfunción femoropatelar;Masaje de descarga muscular;Magnetoterapia;502;Verde;"Soy el lado externo del cuádriceps; aquí es seguro poner inyecciones intramusculares.";Ejercicios isométricos progresivos y bandas elásticas;Flexión de rodilla con cadera neutra.
46;Muslo;Vasto Medial;Línea intertrocantérea y línea áspera;Rótula y tuberosidad de la tibia;Nervio Femoral;Extensión de rodilla (últimos grados);Cara medial inferior del muslo;Condromalacia rotuliana;Potenciación muscular;Corrientes Rusas;502;Rojo;"Soy el lado interno del cuádriceps; mi debilidad hace que tu rótula se descarrille.";Ejercicios isométricos progresivos y bandas elásticas;Flexión de rodilla con ligera rotación externa de fémur.
47;Muslo;Semitendinoso;Tuberosidad isquiática;Cara medial de la tibia (Pata de ganso);Nervio Ciático;Flexión de rodilla y extensión cadera;Cara posteromedial del muslo;Acortamiento isquiotibial;Estiramiento pasivo asistido;Termoterapia;506;Ambar;Formo la famosa 'Pata de ganso' en tu rodilla interna junto al sartorio y grácil.;Ejercicios isométricos progresivos y bandas elásticas;Flexión de cadera con rodilla extendida y rotación externa.
48;Pierna;Peroneo Largo;Cabeza y cara lateral del peroné;Cuneiforme medial y 1er metatarsiano;Nervio Peroneo Superficial;Eversión del pie y flexión plantar;Cara lateral de la pierna;Esguince de tobillo grado I;Fricción transversa;TENS;513;Verde;Protejo tu tobillo lateral estabilizándolo al pisar en terrenos irregulares.;Ejercicios isométricos progresivos y bandas elásticas;Inversión y flexión dorsal del pie.
49;Pierna;Tibial Posterior;Membrana interósea y tibia/peroné;Navicular y todos los tarsos (excepto astrágalo);Nervio Tibial;Inversión del pie y soporte del arco;Detrás del maléolo medial;Pie plano / Tendinitis tibial;Masaje profundo del arco;Magnetoterapia;519;Rojo;"Soy el sostén principal de tu arco plantar; si fallo, te da 'pie plano adquirido'.";Ejercicios isométricos progresivos y bandas elásticas;Eversión y flexión dorsal del pie.
50;Pie;Extensor Corto de los Dedos;Cara dorsal del calcáneo;Tendones del extensor largo (dedos 2-4);Nervio Peroneo Profundo;Extensión de los dedos 2 al 4;Dorso del pie lateral;Edema de pie;Drenaje linfático manual;Laserterapia;525;Verde;Doy ese relleno blandito y muscular en la zona del empeine de tu pie.;Ejercicios isométricos progresivos y bandas elásticas;Flexión plantar y flexión de dedos.
51;Espalda;Romboides Mayor;Apofisis espinosas T2-T5;Borde medial de la escapula;Nervio Escapular Dorsal;Retraccion de la escapula;Entre el borde medial escapular y columna;Dolor interescapular;Puncion seca o presion isquemica;TENS / Calor;416;Ambar;Si pasas mucho tiempo en la PC, me debilito y tu postura se va hacia adelante.;Remo con banda elastica;Protrucción escapular pasiva (abrazarse a uno mismo).
52;Espalda;Romboides Menor;Ligamento nucal y apofisis C7-T1;Borde medial de la escapula;Nervio Escapular Dorsal;Retraccion y elevacion escapular;Encima del Romboides Mayor;Sindrome cruzado superior;Masaje de friccion transversa;Ultrasonido;416;Ambar;Soy el hermano menor del mayor, trabajamos juntos para mantener tu espalda erguida.;Remo con banda elastica;Protrucción escapular con ligera flexión de tronco.
53;Cuello;Elevador de la Escapula;Apofisis transversas C1-C4;Angulo superior de la escapula;Nervio Escapular Dorsal;Eleva la escapula e inclina el cuello;Angulo superior interno de la escapula;Rigidez de nuca / Cervicalgia;Liberacion por presion;Calor profundo;415;Rojo;Soy el culpable de que sientas el 'nudo' en el cuello por estres.;Encogimiento de hombros suave;Flexión e inclinación contralateral con descenso escapular.
54;Cuello;Escaleno Anterior;Apofisis transversas C3-C6;1ra costilla (tuberculo);Nervios espinales C5-C8;Flexion lateral cuello y eleva costilla;Triangulo posterior del cuello;Sindrome del desfiladero toracico;Liberacion posicional;Laserterapia;33;Rojo;"Por debajo de mi pasa el plexo braquial; si me apreto, se te duerme la mano.";Movilidad cervical controlada;Extensión e inclinación lateral contralateral.
55;Cuello;Escaleno Medio;Apofisis transversas C2-C7;1ra costilla;Nervios espinales C3-C8;Flexion lateral cuello;Lateral al escaleno anterior;Cervicobraquialgia;Estiramiento pasivo;Magnetoterapia;33;Ambar;Soy el mas largo de los escalenos y estabilizo tu columna cervical.;Movilidad lateral de cuello;Inclinación lateral contralateral pura.
56;Pecho;Pectoral Menor;Costillas 3, 4 y 5;Apofisis coracoides de la escapula;Nervio Pectoral Medial;Deprime y protrae la escapula;Profundo al pectoral mayor;Hombro adelantado;Liberacion miofascial;Ultrasonido;414;Rojo;Si me acorto, inclino tu escapula hacia adelante y causo pinzamiento.;Estiramiento en puerta;Abducción horizontal y elevación de hombro.
57;Abdomen;Transverso del Abdomen;Fascia toracolumbar y cresta iliaca;Linea alba y pubis;Nervios intercostales;Comprime el abdomen (faja natural);EIAS (profundo);Lumbalgia cronica;Palpacion para activacion;Electroestimulacion muscular;251;Verde;"Soy tu faja natural; si no me activas, tu espalda baja sufrira.";Vacio abdominal;Rotación de tronco suave en decúbito supino.
58;Espalda;Multifidos;Apofisis transversas;Apofisis espinosas;Nervios espinales;Estabilizacion segmentaria;Lateral a las espinosas;Inestabilidad lumbar;Ejercicios de control motor;Corrientes Rusas;178;Rojo;"Somos los microsensores de tu columna; nos atrofiamos rapido tras lesion.";Bird-dog;Flexión de columna vertebral (postura del gato).
59;Muslo;Semimembranoso;Tuberosidad isquiatica;Condilo medial de la tibia;Nervio Ciatico;Flexion rodilla y extension cadera;Cara posteromedial muslo;Tendinitis pata de ganso;Masaje de descarga;Crioterapia;492;Verde;Soy el mas medial de los isquios y limito la fosa poplitea.;Curl femoral;Flexión cadera y rodilla extendida con rotación externa.
60;Muslo;Gracil;Rama inferior del pubis;Cara medial de la tibia;Nervio Obturador;Aduccion cadera y flexion rodilla;Cara medial del muslo;Pubalgia;Estiramiento activo;TENS;487;Ambar;Soy un aductor largo que tambien ayuda a doblar la rodilla.;Pelota entre rodillas;Abducción de cadera sentada (posición de mariposa).
61;Rodilla;Popliteo;Condilo lateral del femur;Cara posterior de la tibia;Nervio Tibial;Desbloquea la rodilla;Fosa poplitea;Dolor posterior de rodilla;Presion profunda;Ultrasonido;496;Ambar;Soy la llave que desbloquea tu rodilla para empezar a doblarla.;Rotaciones de tibia;Extensión completa de rodilla con rotación tibial.
62;Antebrazo;Flexor Cubital del Carpo;Epicondilo medial y olecranon;Pisiforme y 5to meta;Nervio Cubital;Flexion y desviacion cubital;Borde medial antebrazo;Epitrocleitis;Estiramiento pasivo;Magnetoterapia;441;Verde;Me guio por el lado del meñique para doblar tu muñeca.;Flexion de muñeca;Extensión de muñeca con desviación radial.
63;Antebrazo;Extensor Cubital del Carpo;Epicondilo lateral;Base 5to meta;Nervio Radial;Extension y desviacion cubital;Borde posterior antebrazo;Epicondilitis;Friccion transversa;TENS;443;Verde;Ayudo a extender la muñeca y a estabilizarla al cerrar el puño.;Extension de muñeca;Flexión de muñeca con desviación radial.
64;Muslo;Aductor Largo;Cuerpo del pubis;Linea aspera del femur;Nervio Obturador;Aduccion de cadera;Pliegue de la ingle;Desgarro de aductores;Compresion isquemica;Magnetoterapia;487;Rojo;Soy el aductor que mas se lesiona en deportes de cambios de ritmo.;Copenhague plank;Abducción de cadera máxima en decúbito supino.
65;Pierna;Peroneo Corto;2/3 inferiores perone;Base 5to meta;Nervio Peroneo Superficial;Eversion del pie;Base del 5to meta;Fractura por avulsion del 5to meta;Drenaje linfatico;Laser;513;Verde;Trabajo con el largo para evitar que te tuerzas el tobillo.;Eversion con banda;Inversión y flexión dorsal del tobillo.
66;Hombro;Redondo Mayor;Angulo inferior escapula;Labio medial surco humeral;Nervio Subescapular;Extension y rotacion interna;Borde axilar inferior;Hombro congelado;Liberacion miofascial;Calor;415;Ambar;Soy el gemelo del Dorsal Ancho, lo ayudo en casi todo.;Pull-over con banda;Abducción y rotación externa del hombro.
67;Cuello;Escaleno Posterior;Apofisis transversas C4-C6;2da costilla;Nervios espinales C6-C8;Flexion lateral cuello;Detras del escaleno medio;Cervicalgia mecanica;Estiramiento suave;Calor;33;Ambar;Soy el mas pequeño y posterior de los escalenos.;Inclinacion lateral cuello;Inclinación lateral contralateral con flexión.
68;Espalda;Esplenio del Cuello;Apofisis espinosas T3-T6;Apofisis transversas C1-C3;Nervios espinales;Extension y rotacion cuello;Lateral al trapecio;Cefalea tensional;Masaje de amasamiento;TENS;174;Ambar;Trabajo para que puedas mirar atras.;Rotaciones de cuello;Flexión e inclinación contralateral de cabeza.
69;Antebrazo;Supinador;Epicondilo lateral y cubito;Cara lateral del radio;Nervio Radial;Supinacion antebrazo;Cara lateral del codo;Sindrome del canal radial;Presion profunda deslizante;Ultrasonido;443;Rojo;Te permito poner la palma arriba cuando el biceps esta relajado.;Supinacion con pesa;Pronación máxima del antebrazo con codo extendido.
70;Antebrazo;Pronador Cuadrado;Cubito distal;Radio distal;Nervio Mediano;Pronacion antebrazo;Cara anterior muñeca;Sindrome del pronador;Masaje circular profundo;Magnetoterapia;441;Verde;"Soy el pronador mas estable; mantengo radio y cubito unidos.";Pronacion con banda;Supinación máxima del antebrazo.
71;Cadera/Pelvis;Gluteo Medio;Cara externa del ilion;Cara lateral del trocanter mayor;Nervio Gluteo Superior;Abduccion de cadera y estabilizacion pelvica;Borde superior del trocanter mayor;Marcha de Trendelenburg;Liberacion con pelota de lacrosse;Corrientes Interferenciales;482;Rojo;Es el principal estabilizador de la pelvis al caminar, si falla, duele la rodilla o lumbar.;Caminata lateral con banda (Monster walks);Estiramiento cruzando la pierna (figura de 4).
72;Pierna;Tibial Anterior;Cara lateral de la tibia y membrana interosea;Cuneiforme medial y base del 1er metatarsiano;Nervio Peroneo Profundo;Dorsiflexion e inversion del pie;Cara anterolateral de la tibia;Sindrome de estres tibial medial (Periostitis);Masaje de descarga longitudinal;Crioterapia + TENS;504;Ambar;Vital para no tropezar al caminar (evita el pie caido).;Caminata de talones;Sentarse sobre los talones (flexion plantar maxima).
