ID;Region;Nombre_Hueso;Cara;Accidentes_Oseos;Musculos_Relacionados;Funcion_Bio;Articulaciones_Clave;Agente_Fisico;Referencia_Netter;Referencia_Colorear;Link_PDF_Carrion;Puntos_Clave_Palpacion;Terminologia_Tecnica;Prioridad_BRI;Accion_Sugerida;Pista_Trivia;Riesgo_Fractura
H011;Cara;Cigomático Derecho;Facial;Arco cigomático;Cigomático mayor;Soporte ocular, Estética facial;Sutura cigomaticomaxilar;TENS;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Pómulo derecho;Viscerocráneo;Ámbar;Palpación facial;Soy tu pómulo derecho.;Riesgo MEDIO a ALTO
H012;Cara;Cigomático Izquierdo;Facial;Arco cigomático;Cigomático mayor;Soporte ocular, Estética facial;Sutura cigomaticomaxilar;TENS;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Pómulo izquierdo;Viscerocráneo;Ámbar;Palpación facial;Soy tu pómulo izquierdo.;Riesgo MEDIO a ALTO
H013;Cara;Nasal Derecho;Facial;Surco etmoidal;Prócer;Forma del puente nasal;Sutura internasal;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Puente nariz;Viscerocráneo;Ámbar;Palpación facial;Mitad de tu puente nasal.;Riesgo MEDIO a ALTO
H014;Cara;Nasal Izquierdo;Facial;Surco etmoidal;Prócer;Forma del puente nasal;Sutura internasal;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Puente nariz;Viscerocráneo;Ámbar;Palpación facial;Mitad de tu puente nasal.;Riesgo MEDIO a ALTO
H015;Cara;Lagrimal Derecho;Facial;Fosa lagrimal;Orbicular de los ojos;Drenaje lagrimal;Sutura lagrimomaxilar;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Órbita interna derecha;Viscerocráneo;Ámbar;Palpación facial;Hueso más frágil de la cara.;Riesgo MEDIO a ALTO
H016;Cara;Lagrimal Izquierdo;Facial;Fosa lagrimal;Orbicular de los ojos;Drenaje lagrimal;Sutura lagrimomaxilar;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Órbita interna izquierda;Viscerocráneo;Ámbar;Palpación facial;Hueso más frágil de la cara.;Riesgo MEDIO a ALTO
H017;Cara;Palatino Derecho;Facial;Lámina horizontal;Palatofaríngeo;Paladar duro;Sutura palatina media;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Cielo de la boca (atrás);Viscerocráneo;Ámbar;Palpación facial;Techo de tu boca atrás.;Riesgo MEDIO a ALTO
H018;Cara;Palatino Izquierdo;Facial;Lámina horizontal;Palatofaríngeo;Paladar duro;Sutura palatina media;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Cielo de la boca (atrás);Viscerocráneo;Ámbar;Palpación facial;Techo de tu boca atrás.;Riesgo MEDIO a ALTO
H019;Cara;Cornete Inferior Derecho;Facial;Concha nasal;Ninguno;Flujo y calentamiento de aire;Pared nasal lateral;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Fosa nasal interna;Viscerocráneo;Ámbar;Palpación facial;Caliento el aire que respiras.;Riesgo MEDIO a ALTO
H020;Cara;Cornete Inferior Izquierdo;Facial;Concha nasal;Ninguno;Flujo y calentamiento de aire;Pared nasal lateral;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Fosa nasal interna;Viscerocráneo;Ámbar;Palpación facial;Caliento el aire que respiras.;Riesgo MEDIO a ALTO
H021;Cara;Vómer;Facial;Alas del vómer;Ninguno;Forma el tabique nasal central;Sutura esfenovomeriana;Ninguno;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Tabique central profundo;Viscerocráneo;Ámbar;Palpación facial;Parezco una reja de arado.;Riesgo MEDIO a ALTO
H022;Cara;Mandíbula;Facial;Cóndilo y Rama;Masetero, Temporal, Pterigoideos;Masticación dinámica, Habla;ATM (Art. Temporomandibular);Láser / Ultrasonido;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Ángulo mandibular, Mentón;Viscerocráneo;Ámbar;Palpación facial;Único hueso móvil del cráneo.;Riesgo MEDIO a ALTO
H023;Oído Medio;Martillo Derecho;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H024;Oído Medio;Martillo Izquierdo;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H025;Oído Medio;Yunque Derecho;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H026;Oído Medio;Yunque Izquierdo;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H027;Oído Medio;Estribo Derecho;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H028;Oído Medio;Estribo Izquierdo;Interna;Huesecillo auditivo;Músculo del estribo;Transmisión de ondas sonoras;Articulación osicular;Ninguno;Lámina 120;Lámina 4-1;-;Impalpable;Osículos;Verde;Derivar a otorrino si hay sordera;Soy de los huesos más diminutos de tu cuerpo.;Riesgo LEVE (Sordera de conducción)
H029;Cuello;Hioides;Anterior;Cuernos mayores y menores;Suprahioideos, Infrahioideos;Deglución, Fonación;Ninguna (Es un hueso flotante);TENS;Lámina 28;Lámina 3-1;C04_Anatomia.pdf;Cuello anterior sobre tiroides;Hueso sesamoideo gigante;Ámbar;Movilización lateral;El único hueso no articulado con otro.;Riesgo ALTO (Estrangulación)
H030;Columna Cervical;Vértebra Cervical C1 (Atlas);Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C1;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C1;Lordosis cervical;Rojo;Tracción cervical suave;Sostengo tu cabeza (como el titán Atlas).;Riesgo ALTO (Latigazo cervical)
H031;Columna Cervical;Vértebra Cervical C2 (Axis);Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C2;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C2;Lordosis cervical;Rojo;Tracción cervical suave;Permito que digas 'NO' con la cabeza.;Riesgo ALTO (Latigazo cervical)
H032;Columna Cervical;Vértebra Cervical C3;Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C3;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C3;Lordosis cervical;Rojo;Tracción cervical suave;Soy la vértebra C3 del cuello.;Riesgo ALTO (Latigazo cervical)
H033;Columna Cervical;Vértebra Cervical C4;Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C4;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C4;Lordosis cervical;Rojo;Tracción cervical suave;Soy la vértebra C4 del cuello.;Riesgo ALTO (Latigazo cervical)
H034;Columna Cervical;Vértebra Cervical C5;Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C5;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C5;Lordosis cervical;Rojo;Tracción cervical suave;Soy la vértebra C5 del cuello.;Riesgo ALTO (Latigazo cervical)
H035;Columna Cervical;Vértebra Cervical C6;Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C6;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C6;Lordosis cervical;Rojo;Tracción cervical suave;Soy la vértebra C6 del cuello.;Riesgo ALTO (Latigazo cervical)
H036;Columna Cervical;Vértebra Cervical C7;Posterior;Apófisis espinosa bífida (C2-C6);Multífidos, Esplenio;Soporte y movilidad del cuello;Facetarias C7;TENS / Calor;Lámina 18;Lámina 3-2;C04_Anatomia.pdf;Apófisis espinosa C7;Lordosis cervical;Rojo;Tracción cervical suave;Soy la vértebra prominente que sientes en tu nuca.;Riesgo ALTO (Latigazo cervical)
H037;Columna Torácica;Vértebra Torácica T1;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T1;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T1;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 1.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H038;Columna Torácica;Vértebra Torácica T2;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T2;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T2;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 2.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H039;Columna Torácica;Vértebra Torácica T3;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T3;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T3;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 3.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H040;Columna Torácica;Vértebra Torácica T4;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T4;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T4;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 4.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H041;Columna Torácica;Vértebra Torácica T5;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T5;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T5;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 5.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H042;Columna Torácica;Vértebra Torácica T6;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T6;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T6;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 6.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H043;Columna Torácica;Vértebra Torácica T7;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T7;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T7;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 7.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H044;Columna Torácica;Vértebra Torácica T8;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T8;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T8;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 8.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H045;Columna Torácica;Vértebra Torácica T9;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T9;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T9;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 9.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H046;Columna Torácica;Vértebra Torácica T10;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T10;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T10;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 10.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H047;Columna Torácica;Vértebra Torácica T11;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T11;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T11;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 11.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H048;Columna Torácica;Vértebra Torácica T12;Posterior;Carillas articulares costales;Erectores de la columna, Romboides;Soporte de caja torácica;Costovertebral T12;Termoterapia;Lámina 154;Lámina 4-3;C04_Anatomia.pdf;Apófisis espinosa T12;Cifosis torácica;Ámbar;Movilización posteroanterior (PA);Me articulo con la costilla 12.;Riesgo MEDIO (Fractura por compresión en osteoporosis)
H049;Columna Lumbar;Vértebra Lumbar L1;Posterior;Cuerpo vertebral macizo;Psoas, Cuadrado lumbar, Multífidos;Soporte principal de peso corporal;Facetarias L1;Magnetoterapia / TENS;Lámina 155;Lámina 4-4;C04_Anatomia.pdf;Apófisis espinosa L1;Lordosis lumbar;Rojo;Ejercicios de estabilización (Core);Soy la zona de mayor hernia discal (L1).;Riesgo ALTO (Hernias, Espondilolistesis)
H050;Columna Lumbar;Vértebra Lumbar L2;Posterior;Cuerpo vertebral macizo;Psoas, Cuadrado lumbar, Multífidos;Soporte principal de peso corporal;Facetarias L2;Magnetoterapia / TENS;Lámina 155;Lámina 4-4;C04_Anatomia.pdf;Apófisis espinosa L2;Lordosis lumbar;Rojo;Ejercicios de estabilización (Core);Soy la zona de mayor hernia discal (L2).;Riesgo ALTO (Hernias, Espondilolistesis)
H051;Columna Lumbar;Vértebra Lumbar L3;Posterior;Cuerpo vertebral macizo;Psoas, Cuadrado lumbar, Multífidos;Soporte principal de peso corporal;Facetarias L3;Magnetoterapia / TENS;Lámina 155;Lámina 4-4;C04_Anatomia.pdf;Apófisis espinosa L3;Lordosis lumbar;Rojo;Ejercicios de estabilización (Core);Soy la zona de mayor hernia discal (L3).;Riesgo ALTO (Hernias, Espondilolistesis)
H052;Columna Lumbar;Vértebra Lumbar L4;Posterior;Cuerpo vertebral macizo;Psoas, Cuadrado lumbar, Multífidos;Soporte principal de peso corporal;Facetarias L4;Magnetoterapia / TENS;Lámina 155;Lámina 4-4;C04_Anatomia.pdf;Apófisis espinosa L4;Lordosis lumbar;Rojo;Ejercicios de estabilización (Core);Soy la zona de mayor hernia discal (L4).;Riesgo ALTO (Hernias, Espondilolistesis)
H053;Columna Lumbar;Vértebra Lumbar L5;Posterior;Cuerpo vertebral macizo;Psoas, Cuadrado lumbar, Multífidos;Soporte principal de peso corporal;Facetarias L5;Magnetoterapia / TENS;Lámina 155;Lámina 4-4;C04_Anatomia.pdf;Apófisis espinosa L5;Lordosis lumbar;Rojo;Ejercicios de estabilización (Core);Soy la zona de mayor hernia discal (L5).;Riesgo ALTO (Hernias, Espondilolistesis)
H054;Columna Sacrococcígea;Sacro;Posterior;Promontorio, Forámenes sacros;Glúteo mayor, Piramidal;Transmisión de peso a la pelvis;Articulación Sacroilíaca;Ultrasonido;Lámina 156;Lámina 4-5;-;Base sacra, S1-S5;Hueso fusionado;Rojo;Ajuste pélvico;Soy 5 vértebras fusionadas en cuña.;Riesgo ALTO (Caída de nalgas)
H055;Columna Sacrococcígea;Cóccix;Posterior;Cuernos coccígeos;Suelo pélvico, Pubococcígeo;Inserción ligamentosa y muscular;Articulación Sacrococcígea;Magnetoterapia;Lámina 156;Lámina 4-5;-;Punta interglútea;Hueso vestigial;Verde;Relajación suelo pélvico;Soy el resto de tu cola evolutiva.;Riesgo ALTO (Luxación por caída)
H056;Tórax;Esternón;Anterior;Manubrio, Cuerpo, Apófisis Xifoides;Pectoral mayor, Esternocleidomastoideo;Anclaje torácico, Protección cardíaca;Articulaciones Esternocostales;Láser;Lámina 182;Lámina 5-1;C04.pdf;Manubrio y Cuerpo esternal;Escudo torácico;Verde;Expansión torácica;Soy el escudo que protege tu corazón.;Riesgo MEDIO (Trauma directo / RCP)
H057;Tórax;Costilla 1 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T1;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 1;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H058;Tórax;Costilla 1 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T1;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 1;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H059;Tórax;Costilla 2 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T2;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 2;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H060;Tórax;Costilla 2 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T2;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 2;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H061;Tórax;Costilla 3 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T3;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 3;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H062;Tórax;Costilla 3 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T3;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 3;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H063;Tórax;Costilla 4 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T4;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 4;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H064;Tórax;Costilla 4 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T4;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 4;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H065;Tórax;Costilla 5 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T5;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 5;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H066;Tórax;Costilla 5 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T5;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 5;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H067;Tórax;Costilla 6 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T6;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 6;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H068;Tórax;Costilla 6 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T6;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 6;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H069;Tórax;Costilla 7 Derecha (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T7;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 7;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Verdadera.;Riesgo ALTO (Fisuras)
H070;Tórax;Costilla 7 Izquierda (Verdadera);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T7;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 7;Costilla Verdadera;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Verdadera.;Riesgo ALTO (Fisuras)
H071;Tórax;Costilla 8 Derecha (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T8;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 8;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Falsa.;Riesgo ALTO (Fisuras)
H072;Tórax;Costilla 8 Izquierda (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T8;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 8;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Falsa.;Riesgo ALTO (Fisuras)
H073;Tórax;Costilla 9 Derecha (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T9;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 9;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Falsa.;Riesgo ALTO (Fisuras)
H074;Tórax;Costilla 9 Izquierda (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T9;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 9;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Falsa.;Riesgo ALTO (Fisuras)
