ID;Nombre_Patologia;Region;Huesos_Implicados;Musculos_Implicados;Tipo_Dolor_Zona;Agente_Fisico_Sugerido;Parametros_Hz_us;Ubicacion_Electrodos;Objetivo_Fisiologico;Tecnica_Manual;Ejercicio_Activo;Sintoma_Alarma_Red_Flag;Logica_Combinacion;Tiempo_Recuperacion;Criterios_de_Alta;
P011;Trocanteritis (Bursitis);Cadera/Pelvis;Femur (Trocanter), Pelvis;Gluteo medio, Tensor fascia lata;Dolor lateral al dormir sobre la cadera;US Pulsatil + Crioterapia;US: 1MHz, 20%, 1.0 W/cm2;Directamente sobre trocanter mayor;Antiinflamatorio local en bursa;Masaje de descarga en cintilla iliotibial;Fortalecimiento isometrico de abductores;Dolor intenso al apoyar la pierna sin antecedente (Necrosis Avascular);Disminuir tension de la cintilla iliotibial que roza la bursa;3 a 6 semanas;Marcha y decubito lateral sin dolor;
P012;Condromalacia Patelar;Rodilla;Rotula, Femur;Vasto medial oblicuo (VMO);Dolor anterior al estar sentado o bajar escaleras;Corrientes Rusas en VMO;Frecuencia 50 Hz, Rampa 2s;Vientre del Vasto Medial Oblicuo;Reeducacion motora para centrar la rotula;Taping rotuliano (McConnell);Sentadillas isometricas cortas (0-45 grados);Bloqueo articular verdadero (Cuerpo libre intraarticular);Corregir el tracking rotuliano fortaleciendo VMO;4 a 8 semanas;Subir/bajar escaleras asintomatico;
P013;Sindrome del Tunel Carpiano;Mano/Muñeca;Huesos del carpo;Flexores de los dedos;Hormigueo en 3 primeros dedos, peor de noche;US Pulsatil baja intensidad + TENS;US: 3MHz, 20%, 0.5 W/cm2;Retinaculo flexor y recorrido del mediano;Reducir edema intraneural;Neurodinamia del nervio mediano;Deslizamientos tendinosos;Atrofia severa de la eminencia tenar (Cirugia inminente);No usar calor continuo aumentaria presion en el tunel;4 a 8 semanas;Sensibilidad normal, Tinel y Phalen negativos;
P014;Gonartrosis (Artrosis Rodilla);Rodilla;Femur, Tibia, Rotula;Cuadriceps, Isquiotibiales;Dolor mecanico, crepitacion, rigidez matutina leve;TENS Acupuntura + Calor Profundo;TENS: 2-4 Hz, 200 us / Calor: 20 min;Interlinea articular;Mejorar viscoelasticidad del liquido sinovial;Traccion articular manual suave;Bicicleta sin resistencia, isometricos;Calor, enrojecimiento y edema subitos (Artritis septica);Calor reduce rigidez y permite ejercicio sin impacto;Tratamiento continuo conservador;Mejora de calidad de vida y marcha autonoma;
P015;Paralisis Facial Periferica;Cara;Craneales faciales;Musculos de la mimica (Frontal, Cigomatico);Perdida de movimiento en mitad de la cara;Laser LLLT + Electroestimulacion (solo denervados);Laser puntal en salida del nervio;Punto motor de cada musculo facial;Bioestimulacion del nervio, evitar atrofia;Masaje facial estimulante;Mioterapia facial frente al espejo;Presencia de hemiplejia corporal o problemas del habla (ACV - Alerta Roja);La reeducacion visual frente al espejo asegura plasticidad cerebral;4 a 12 semanas;Cierre ocular completo, sonrisa simetrica;
P016;Coxartrosis (Artrosis de Cadera);Cadera/Pelvis;Femur, Iliaco;Gluteos, Psoas Iliaco, Aductores;Dolor en ingle irradiado a cara anterior del muslo;Termoterapia Profunda + TENS;TENS: 80-100 Hz (agudo), 2-4 Hz (cronico);Cruzada abarcando zona trocanterea e inguinal;Analgesia y reduccion de carga mecanica por espasmo;Traccion articular manual (distraccion);Movilidad en piscina, estiramiento de psoas;Dolor nocturno severo que no cede al reposo (Infeccion/Tumor);Frenar desgaste articular manteniendo rango de movimiento; el calor relaja;Tratamiento continuo conservador;Mejora en test de marcha, reduccion de medicacion
P017;Tendinopatia Aquilea;Tobillo/Pie;Calcaneo, Tibia, Perone;Triceps Sural (Gemelos y Soleo);Dolor matutino y engrosamiento en el tendon de Aquiles;US Pulsatil + Crioterapia;US: 3MHz, 20%, 1.0 W/cm2;Aplicacion directa sobre el cuerpo del tendon;Estimular sintesis de colageno y reducir neovascularizacion;Masaje transverso profundo (Cyriax);Ejercicios excentricos de pantorrilla (Alfredson);Rotura palpable o chasquido audible subito;La carga excentrica remodela el tendon, el US prepara el terreno;6 a 12 semanas;Test de elevacion de talon asintomatico;
P018;Desgarro de Isquiotibiales;Muslo;Isquion, Tibia, Perone;Biceps femoral, Semitendinoso;Dolor subito y punzante en cara posterior del muslo;US Pulsatil + Microcorrientes;US: 1MHz, 20%, 0.8 W/cm2 / MES: <1 mA;Sobre el defecto muscular o cicatriz fibrosa;Alinear fibras de colageno, evitar fibrosis adherente;Drenaje linfatico y masaje de aproximacion;Isometria submaxima progresando a excentricos;Gran hematoma subyacente que pulsa (Riesgo vascular);Respetar tiempos de cicatrizacion (21 dias); no estirar agresivamente al inicio;4 a 8 semanas;Fuerza simetrica, sprint sin dolor
P019;Luxacion Anterior de Hombro (Post-yeso);Hombro;Escapula (Glenoides), Humero;Subescapular, Pectoral mayor;Inestabilidad y aprehension al rotar externamente;EMS (Electroestimulacion) + Crioterapia;EMS: Frecuencia 50 Hz, rampa suave;Electrodos en deltoides y manguito rotador;Acelerar recuperacion de estabilizadores dinamicos;Terapia propioceptiva manual;Isometria en multiples angulos y estabilizacion ritmica;Perdida de sensibilidad en deltoides lateral (Lesion nervio axilar);Prohibido combinar rotacion externa extrema con abduccion;6 a 12 semanas;Test de aprehension negativo, estabilidad funcional;
P020;Fractura de Colles (Post-yeso);Mano/Muñeca;Radio, Cubito, Carpo;Flexores y extensores del carpo;Rigidez severa en muñeca y edema residual;Baños de Contraste + US Continuo;Baños: 3 min calor / 1 min frio / US: 3MHz, 100%;Foco de fractura consolidado y capsula;Aumento de flujo sanguineo y flexibilizacion capsular;Terapia manual (deslizamientos carpianos);Movilidad activa con pelota de espuma;Mano brillante, roja y muy dolorosa (Sindrome Regional Complejo);Priorizar grados de movilidad articular antes que la fuerza;6 a 10 semanas;Arcos de movimiento funcionales, agarre >80%;
P021;Sindrome de De Quervain;Mano/Muñeca;Radio, Primer metacarpiano;Abductor largo y Extensor corto del pulgar;Dolor en la base del pulgar al agarrar o girar muñeca;US Pulsatil + Crioterapia;US: 3MHz, 20%, 0.5 W/cm2;Tabaquera anatomica y primera corredera dorsal;Reducir inflamacion de la vaina sinovial;Masaje de descarga en antebrazo;Movilidad aislada del pulgar sin carga;Dolor que irradia a todo el brazo sin causa aparente;Limitar movimiento detonante es el 80% del exito;4 a 6 semanas;Test de Finkelstein negativo, pinza fuerte;
P022;Bursitis Subacromial;Hombro;Escapula (Acromion), Humero;Supraespinoso, Deltoides;Dolor anterolateral del hombro, arco doloroso;Crioterapia + TENS;TENS: 80-100 Hz, 100 us;Bipolar en el espacio subacromial;Reduccion del proceso inflamatorio agudo;Alineacion postural y tape de descompresion;Descenso de cabeza humeral (dorsal/trapecio inferior);Impotencia funcional total subita (Desgarro agudo);Aumentar espacio subacromial para evitar compresion de bursa;3 a 6 semanas;Abduccion libre, dolor nocturno ausente;
P023;Esguince Ligamento Colateral Interno;Rodilla;Femur, Tibia;Pata de ganso, Cuadriceps;Dolor cara interna de rodilla, bostezo articular leve;Laser LLLT + High Volt;Laser: 4-6 J/cm2 / High Volt: 100 Hz;Insercion femoral y tibial del ligamento;Modulacion de inflamacion y estimulo de fibroblastos;Vendaje funcional (Taping valgo);Isometria VMO en cadena cerrada;Bloqueo articular verdadero (Lesion meniscal en asa de balde);Evitar fuerzas de valgo tempranas, priorizar estabilidad sagital;4 a 8 semanas;Rodilla estable a pruebas de estres, propiocepcion normal;
P024;Epitrocleitis (Codo de Golfista);Codo;Humero (Epitroclea), Cubito;Flexores de muñeca, Pronador redondo;Dolor cara interna del codo al flexionar muñeca;US Pulsatil + Crioterapia;US: 3MHz, 20%, 1.0 W/cm2;Epitroclea y vientres flexores;Efecto mecanico estimulante sin calor;Masaje Cyriax en tendon flexor;Estiramiento de flexores y excentricos;Parestesia en los dedos meñique y anular (Neuropatia Cubital);Abordaje enfocado en cadena flexo-pronadora, bajar carga;4 a 8 semanas;Flexion contra resistencia asintomatica;
P025;Periostitis Tibial;Pierna;Tibia;Tibial anterior, Tibial posterior;Dolor difuso cara anterointerna de tibia al correr;Crioterapia intensiva + Corrientes Interferenciales;CFI: AMF 80-100 Hz con barrido;Borde medial de la tibia;Analgesia profunda y reduccion de inflamacion periostica;Masaje de descarga miofascial en pantorrilla;Fortalecimiento intrinsecos del pie y correccion de pisada;Dolor focal y muy agudo a la palpacion (Fractura por Estres);Reposo relativo y modificacion de calzado son fundamentales;3 a 6 semanas;Trote asintomatico, palpacion tibial sin dolor;
P026;Dorsalgia (Cifosis Postural);Espalda Media;Vertebras T1-T12;Romboides, Trapecio medio, Pectorales;Dolor por fatiga entre las escapulas;Calor Profundo + Electroestimulacion (EMS);EMS: Frecuencia 50 Hz / Calor: 20 min;Calor en trapecio superior, EMS en romboides;Relajar antagonistas (pectorales) y activar agonistas;Liberacion miofascial de pectorales;Retraccion escapular (Remos) y estiramiento anterior;Deformidad angular rigida subita (Fractura osteoporotica);Fortalecer estabilizadores escapulares que estan elongados y debiles;4 a 8 semanas;Buena higiene postural sostenida, desaparicion de fatiga;
P027;Pubalgia (Osteopatia de Pubis);Cadera/Pelvis;Pubis, Iliaco;Aductores, Recto anterior del abdomen;Dolor en pubis e ingle, comun al patear o girar;Laser LLLT + Crioterapia;Laser: 6-8 J/cm2 / Crioterapia post-ejercicio;Sinfisis pubica y origen de aductores;Reducir inflamacion en insercion tendino-osea (entesitis);Masaje descontracturante en aductores;Fortalecimiento Core-Pelvis (Planchas, puente gluteo);Masa palpable o tos dolorosa (Hernia inguinal);Restablecer equilibrio entre pared abdominal y aductores;6 a 12 semanas;Squeeze test asintomatico, retorno a deporte;
P028;Metatarsalgia;Tobillo/Pie;Metatarsianos, Falanges;Lumbricales, Interoseos, Triceps sural;Dolor agudo almohadilla plantar al pisar;US Subacuatico + TENS;US: 3MHz, 20%, 0.8 W/cm2 / TENS: 80 Hz;Zona plantar retrocapital;Desinflamar cabezas metatarsales y bursas;Masaje de apertura de fascias;Recoger canicas con los dedos, estiramiento de gemelos;Dolor electrico entre 3er y 4to dedo (Neuroma de Morton);Descargar la presion mecanica con plantillas es esencial;3 a 6 semanas;Marcha sin claudicacion, tolerancia a calzado;
P029;Sindrome del Desfiladero Toracico;Cuello y Espalda;Primera costilla, Clavicula;Escalenos, Pectoral menor;Dolor, hormigueo y frialdad en brazo y mano;Termoterapia + TENS;TENS: 80-100 Hz / Calor moderado;Zona supraclavicular y pectoral;Relajacion muscular para liberar paquete neurovascular;Liberacion de escalenos y pectoral menor;Respiracion diafragmatica, apertura toracica;Perdida total de pulso radial o cianosis en mano (Emergencia vascular);No traccionar el cuello de forma agresiva, priorizar apertura;4 a 8 semanas;Maniobra de Roos o Adson negativas, pulso normal;
P030;Radiculopatia Cervical;Cuello y Espalda;Vertebras C5-C8;Musculatura del brazo correspondiente;Dolor irradiado como corriente desde el cuello al brazo;Traccion Cervical + TENS en recorrido;TENS: 2-4 Hz, 200 us;A lo largo del dermatoma afectado;Descompresion del foramen y neuromodulacion del nervio;Neurodinamia del miembro superior;Ejercicios de retraccion cervical (McKenzie);Atrofia muscular rapida o hiperreflexia (Mielopatia);Centralizar el dolor es el objetivo principal; suspender si periferiza;6 a 12 semanas;Desaparicion de dolor irradiado, reflejos normales
P031;Tendinopatia Rotuliana (Rodilla de Saltador);Rodilla;Rotula, Tibia;Cuadriceps (Recto Femoral);Dolor punzante en el polo inferior de la rotula;Ondas de Choque + Hielo;Ondas: 1.5-2.5 bar, 10-15 Hz;N/A (Ondas) o TENS perirrotuliano;Neovascularizacion y regeneracion de colageno;Masaje transverso profundo (Cyriax) en tendon;Sentadillas excentricas en plano inclinado;Ruptura palpable del tendon (Hundimiento rotuliano);Las ondas rompen la fibrosis cronica, el ejercicio excentrico reordena el colageno;6 a 12 semanas;Salto sin dolor, fuerza cuadricipital al 90%;
P032;Esguince de Tobillo (Grado II);Tobillo;Perone, Astragalo, Calcaneo;Peroneos laterales;Dolor agudo, edema y fovea en cara externa;Crioterapia + TENS Convencional;TENS: 80-100 Hz, 100 us;Bilateral (malolo externo e interno);Control de inflamacion aguda y analgesia;Drenaje Linfatico Manual (DLM);Trabajo propioceptivo en disco de Bohler;Incapacidad para dar 4 pasos seguidos (Regla de Ottawa: posible fractura);El hielo frena el edema, el DLM lo evacua y la propiocepcion evita recidivas;3 a 6 semanas;Marcha estable, apoyo unipolar indoloro por 30s;
P033;Epicondilitis Lateral (Codo de Tenista);Codo;Humero, Radio;Extensor radial corto del carpo;Dolor quemante en cara externa del codo al agarrar cosas;Ultrasonido + TENS;US: 3MHz, 20%, 0.8 W/cm2;Sobre el epicondilo lateral y vientre muscular;Desinflamacion tendinosa focalizada;Cyriax y liberacion miofascial del antebrazo;Extension excentrica de muñeca con mancuerna ligera;Perdida subita de fuerza de agarre con adormecimiento;El US pulsatil desinflama sin generar calor residual excesivo en el tendon;4 a 8 semanas;Fuerza de prension sin dolor (test de agarre);
P034;Fasciopatia Plantar;Pie;Calcaneo, Metatarsos;Fascia plantar, Gemelos, Soleo;Dolor punzante en el talon, peor en los primeros pasos de la mañana;Crioterapia (Botella helada) + US;US: 1MHz, 1.2 W/cm2 continuo;Planta del pie (insercion calcanea);Flexibilizacion del tejido conectivo plantar;Masaje profundo con nudillos en arco plantar;Rodar pelota de tenis, estiramiento agresivo de gemelos;Dolor nocturno intenso no asociado a la carga;El estiramiento de la cadena posterior (gemelos) es obligatorio para liberar la tension en la planta del pie;2 a 6 meses;Caminata matutina indolora, prueba de Windlass negativa;
P035;Sindrome del Tunel Carpiano;Muñeca y Mano;Carpianos, Radio;Flexores de los dedos;Hormigueo, quemazon y adormecimiento en dedos 1, 2 y 3;Corriente Galvanica (Iontoforesis) o TENS;TENS: 2-4 Hz, 200 us (Acupuntural);Sobre trayecto del nervio mediano;Neuromodulacion y descompresion del nervio;Neurodinamia del nervio mediano;Deslizamientos tendinosos y apertura de muñeca;Atrofia severa en la eminencia tenar (requiere cirugia);Liberar el retinaculo flexor manualmente combinado con neurodinamia restaura la movilidad del nervio;4 a 8 semanas;Test de Phalen y Tinel negativos, recuperacion de sensibilidad;
